min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;100000;40000000;135594;295;0.737496;1;0.000000;0.000221;19.137816;o;0.001651;0.296910;2.249357;5.798676;8.048034;5.607536;5.183418;
0;100000;40000000;134229;298;0.744995;1;0.000000;0.000200;17.718510;o;0.001475;0.293070;2.105831;5.263980;7.369812;5.216833;4.837077;
0;100000;40000000;40000000;1;0.002500;1;0.000000;0.001454;21.098688;o;0.261018;0.296774;3.995347;5.804408;9.799757;5.551087;5.188552;
0;100000;40000000;10000000;4;0.010000;1;0.000000;0.000583;19.262318;o;0.066132;0.293009;3.196297;5.353335;8.549633;5.253739;5.099178;
0;100000;40000000;5714286;7;0.017500;1;0.000000;0.000339;18.945546;o;0.036933;0.293378;3.197618;5.246969;8.444589;5.175403;4.994853;
0;100000;40000000;4000000;10;0.025000;1;0.000000;0.000276;20.250205;o;0.026459;0.293048;3.644285;5.682505;9.326791;5.444038;5.159546;
0;100000;40000000;3076923;13;0.032500;1;0.000000;0.000370;19.414944;o;0.020685;0.293214;3.353854;5.670045;9.023900;5.303856;4.772875;
0;100000;40000000;2500000;16;0.040000;1;0.000000;0.000275;18.596301;o;0.016593;0.292846;3.140353;5.221300;8.361654;5.131464;4.793418;
0;100000;40000000;2105264;19;0.047500;1;0.000000;0.000266;18.561111;o;0.013971;0.292790;3.116011;5.218393;8.334406;5.082754;4.836879;
0;100000;40000000;1818182;22;0.055000;1;0.000000;0.000219;18.533765;o;0.012081;0.294901;3.120273;5.205760;8.326034;5.146193;4.754287;
0;100000;40000000;1600000;25;0.062500;1;0.000000;0.000139;19.518927;o;0.010982;0.296685;3.888222;5.325942;9.214165;5.170161;4.826749;
0;100000;40000000;1428572;28;0.070000;1;0.000000;0.000224;18.557916;o;0.009494;0.296443;3.163968;5.202850;8.366820;5.140968;4.743920;
0;100000;40000000;1290323;31;0.077500;1;0.000000;0.000242;18.659530;o;0.009281;0.296619;3.202289;5.266125;8.468415;5.145346;4.739580;
0;100000;40000000;1176471;34;0.085000;1;0.000000;0.000253;18.641198;o;0.008756;0.292644;3.247550;5.191281;8.438832;5.149429;4.751237;
0;100000;40000000;1081082;37;0.092500;1;0.000000;0.000284;19.035995;o;0.007951;0.293502;3.130015;5.192341;8.322357;5.282486;5.129372;
0;100000;40000000;1000000;40;0.100000;1;0.000000;0.000162;19.673257;o;0.006884;0.297523;3.355007;5.651697;9.006706;5.486598;4.875341;
0;100000;40000000;930233;43;0.107500;1;0.000000;0.000248;18.497296;o;0.006711;0.293230;3.120437;5.187573;8.308011;5.136276;4.752776;
0;100000;40000000;869566;46;0.115000;1;0.000000;0.000306;18.965053;o;0.006329;0.292955;3.214438;5.527732;8.742171;5.089530;4.833713;
0;100000;40000000;816327;49;0.122500;1;0.000000;0.000245;18.554872;o;0.005877;0.293610;3.147539;5.211063;8.358603;5.143080;4.753412;
0;100000;40000000;769231;52;0.130000;1;0.000000;0.000228;18.348083;o;0.005991;0.292718;3.160155;5.187797;8.347953;5.139510;4.561638;
0;100000;40000000;727273;55;0.137500;1;0.000000;0.000161;18.483909;o;0.005227;0.292924;3.142858;5.176673;8.319532;5.126112;4.739907;
0;100000;40000000;689656;58;0.145000;1;0.000000;0.000263;18.441444;o;0.004882;0.293167;3.114961;5.170238;8.285200;5.134029;4.723858;
0;100000;40000000;655738;61;0.152500;1;0.000000;0.000255;19.414068;o;0.005367;0.292836;3.157079;5.285259;8.442339;5.483171;5.190056;
0;100000;40000000;625000;64;0.160000;1;0.000000;0.000186;19.487080;o;0.004129;0.292832;3.204293;5.458240;8.662534;5.411890;5.115465;
0;100000;40000000;597015;67;0.167500;1;0.000000;0.000294;19.501604;o;0.004403;0.295171;3.212684;5.564207;8.776892;5.307554;5.117245;
0;100000;40000000;571429;70;0.175000;1;0.000000;0.000130;18.932540;o;0.004195;0.292945;3.240441;5.515337;8.755779;5.128117;4.751328;
0;100000;40000000;547946;73;0.182500;1;0.000000;0.000242;18.798762;o;0.004205;0.296411;3.204519;5.251464;8.455985;5.208136;4.833737;
0;100000;40000000;526316;76;0.190000;1;0.000000;0.000217;18.737551;o;0.003960;0.297463;3.282811;5.174905;8.457717;5.197301;4.780845;
0;100000;40000000;506330;79;0.197500;1;0.000000;0.000215;18.539685;o;0.004240;0.292830;3.198115;5.180660;8.378776;5.124274;4.739304;
0;100000;40000000;487805;82;0.205000;1;0.000000;0.000157;18.580490;o;0.003274;0.292988;3.260742;5.160828;8.421571;5.129836;4.732617;
0;100000;40000000;470589;85;0.212500;1;0.000000;0.000318;19.616733;o;0.003856;0.296473;3.211751;5.626174;8.837926;5.372286;5.105829;
0;100000;40000000;454546;88;0.220000;1;0.000000;0.000165;19.014902;o;0.003619;0.293211;3.268079;5.163809;8.431889;5.200269;5.085700;
0;100000;40000000;439561;91;0.227500;1;0.000000;0.000118;18.703442;o;0.003106;0.293536;3.368469;5.209589;8.578059;5.091229;4.737342;
0;100000;40000000;425532;94;0.235000;1;0.000000;0.000238;19.316680;o;0.003376;0.293302;3.133413;5.219117;8.352531;5.475899;5.191287;
0;100000;40000000;412372;97;0.242499;1;0.000000;0.000246;19.243764;o;0.003636;0.293060;3.356382;5.648855;9.005238;5.098594;4.842941;
0;100000;40000000;400000;100;0.250000;1;0.000000;0.000254;19.748035;o;0.003547;0.297084;3.337619;5.713051;9.050671;5.487554;4.908880;
0;100000;40000000;388350;103;0.257500;1;0.000000;0.000352;18.697332;o;0.003137;0.292945;3.086208;5.201169;8.287378;5.151889;4.961584;
0;100000;40000000;377359;106;0.265000;1;0.000000;0.000338;18.585989;o;0.003199;0.293028;3.145408;5.219467;8.364876;5.154671;4.769834;
0;100000;40000000;366973;109;0.272500;1;0.000000;0.000201;19.189750;o;0.003253;0.292835;3.101417;5.654338;8.755756;5.376806;4.760854;
0;100000;40000000;357143;112;0.280000;1;0.000000;0.000180;19.182446;o;0.002744;0.297000;3.006471;5.273531;8.280003;5.495670;5.106804;
0;100000;40000000;347827;115;0.287499;1;0.000000;0.000166;19.012238;o;0.002419;0.293564;3.099617;5.648534;8.748152;5.246697;4.721195;
0;100000;40000000;338984;118;0.294999;1;0.000000;0.000293;18.396913;o;0.002690;0.296624;2.955766;5.218407;8.174173;5.155736;4.767351;
0;100000;40000000;330579;121;0.302500;1;0.000000;0.000256;18.716644;o;0.002502;0.293390;2.855626;5.263046;8.118673;5.355891;4.945879;
0;100000;40000000;322581;124;0.310000;1;0.000000;0.000275;18.195634;o;0.002642;0.293099;2.834868;5.207023;8.041892;5.117439;4.740241;
0;100000;40000000;314961;127;0.317500;1;0.000000;0.000263;18.184761;o;0.002463;0.293138;2.810926;5.206703;8.017630;5.138670;4.732550;
0;100000;40000000;307693;130;0.324999;1;0.000000;0.000109;18.758126;o;0.002254;0.293163;2.743986;5.191552;7.935540;5.414211;5.112803;
0;100000;40000000;300752;133;0.332500;1;0.000000;0.000114;18.506211;o;0.002465;0.292853;2.878658;5.300248;8.178907;5.143784;4.888041;
0;100000;40000000;294118;136;0.340000;1;0.000000;0.000250;18.034209;o;0.002563;0.293494;2.719538;5.188849;7.908387;5.106102;4.723368;
0;100000;40000000;287770;139;0.347500;1;0.000000;0.000093;18.000017;o;0.002185;0.293456;2.622623;5.184590;7.807213;5.154580;4.742444;
0;100000;40000000;281691;142;0.354999;1;0.000000;0.000223;18.073365;o;0.002324;0.292888;2.665919;5.219232;7.885152;5.149113;4.743619;
0;100000;40000000;275863;145;0.362499;1;0.000000;0.000193;17.818208;o;0.001898;0.293315;2.597331;5.033136;7.630468;5.125019;4.767268;
