min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;100000;50000000;2500000;20;0.040000;3;0.000000;0.000139;11.326434;o;0.018567;0.118965;2.580281;2.909787;5.490069;2.935642;2.762950;
0;100000;50000000;2500000;20;0.040000;4;0.000000;0.000339;8.904638;o;0.020083;0.091446;2.439113;2.200811;4.639925;2.071554;2.081049;
0;100000;50000000;2500000;20;0.040000;5;0.000000;0.000314;7.768180;o;0.020449;0.075642;2.405771;1.903207;4.308979;1.658596;1.704019;
0;100000;50000000;2500000;20;0.040000;6;0.000000;0.000387;6.702919;o;0.019712;0.063450;2.230096;1.551369;3.781466;1.416150;1.421506;
0;100000;50000000;2500000;20;0.040000;7;0.000000;0.000327;6.060767;o;0.020547;0.053522;2.132332;1.422593;3.554926;1.220387;1.210855;
0;100000;50000000;2500000;20;0.040000;8;0.000000;0.000369;5.446439;o;0.021767;0.046720;2.012032;1.276316;3.288350;1.055336;1.033678;
0;100000;50000000;2500000;20;0.040000;9;0.000000;0.000362;5.002162;o;0.023291;0.042501;1.933983;1.159672;3.093656;0.946309;0.895244;
0;100000;50000000;2500000;20;0.040000;10;0.000000;0.000367;4.634735;o;0.025432;0.038680;1.839922;1.045006;2.884930;0.867821;0.817171;
0;100000;50000000;2500000;20;0.040000;11;0.000000;0.000354;4.310910;o;0.026496;0.035132;1.765090;0.974379;2.739492;0.762840;0.746257;
0;100000;50000000;2500000;20;0.040000;12;0.000000;0.000374;4.053900;o;0.021546;0.031602;1.680240;0.906442;2.586687;0.728996;0.683915;
