min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;
0;2147483647;10000000;256411;39;8375.161935;1;0.000000;0.000114;4.912117;o;0.001477;0.059161;0.660024;1.272751;1.932775;1.641620;1.276951;
0;2147483647;10000000;250000;40;8589.934588;1;0.000000;0.000102;4.861654;o;0.001385;0.058136;0.610307;1.271253;1.881561;1.649426;1.271026;
0;2147483647;10000000;243903;41;8804.662702;1;0.000000;0.000084;4.810384;o;0.001393;0.056942;0.594313;1.255582;1.849896;1.645296;1.256754;
0;2147483647;10000000;238096;42;9019.402455;1;0.000000;0.000099;4.891606;o;0.001304;0.055901;0.599572;1.273967;1.873541;1.668673;1.292064;
0;2147483647;10000000;232559;43;9234.145516;1;0.000000;0.000149;4.979020;o;0.001815;0.055497;0.585415;1.345054;1.930470;1.696316;1.294755;
0;2147483647;10000000;227273;44;9448.916708;1;0.000000;0.000084;4.939670;o;0.001273;0.056498;0.580419;1.295699;1.876119;1.701212;1.304466;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000439;3.383933;o;0.056507;0.062462;1.233512;0.745493;1.979006;0.674963;0.610537;
0;2147483647;10000000;5000000;2;429.496729;1;0.000000;0.000262;3.503275;o;0.024051;0.072028;1.171663;0.693804;1.865468;0.926967;0.614440;
0;2147483647;10000000;3333334;3;644.244965;1;0.000000;0.000251;3.823225;o;0.013938;0.066638;1.183729;0.728618;1.912349;1.179029;0.651001;
0;2147483647;10000000;2500000;4;858.993459;1;0.000000;0.000176;3.998567;o;0.011186;0.058386;1.170468;0.743633;1.914102;1.313562;0.701137;
0;2147483647;10000000;2000000;5;1073.741824;1;0.000000;0.000214;4.211734;o;0.008008;0.057372;1.161484;0.789678;1.951163;1.339367;0.855590;
0;2147483647;10000000;1666667;6;1288.489931;1;0.000000;0.000126;5.431008;o;0.008476;0.058354;1.366327;1.114899;2.481227;1.833109;1.049673;
0;2147483647;10000000;1428572;7;1503.237952;1;0.000000;0.000118;5.329106;o;0.008362;0.078910;1.276205;1.050966;2.327173;1.600574;1.313946;
0;2147483647;10000000;1250000;8;1717.986918;1;0.000000;0.000167;4.894436;o;0.005752;0.061205;1.178831;1.119553;2.298386;1.447033;1.081849;
0;2147483647;10000000;1111112;9;1932.733736;1;0.000000;0.000160;4.987329;o;0.004799;0.058018;1.062257;1.216551;2.278809;1.462943;1.182579;
0;2147483647;10000000;1000000;10;2147.483647;1;0.000000;0.000195;5.072738;o;0.004557;0.056969;1.080399;1.252503;2.332904;1.456242;1.221849;
0;2147483647;10000000;909091;11;2362.231775;1;0.000000;0.000130;5.026556;o;0.003712;0.056657;1.060621;1.192463;2.253086;1.452574;1.260376;
0;2147483647;10000000;833334;12;2576.978315;1;0.000000;0.000144;5.076075;o;0.004363;0.060269;1.024068;1.220341;2.244409;1.524460;1.242409;
0;2147483647;10000000;769231;13;2791.727904;1;0.000000;0.000101;5.046679;o;0.003177;0.060789;1.063305;1.221538;2.284844;1.462102;1.235633;
0;2147483647;10000000;714286;14;3006.475903;1;0.000000;0.000159;4.973655;o;0.003720;0.058877;0.986591;1.225443;2.212035;1.452195;1.246640;
0;2147483647;10000000;666667;15;3221.223860;1;0.000000;0.000114;4.955802;o;0.003036;0.069553;0.951091;1.229150;2.180242;1.469179;1.233647;
0;2147483647;10000000;625000;16;3435.973835;1;0.000000;0.000084;4.958080;o;0.002528;0.057937;0.925941;1.230686;2.156629;1.504630;1.236252;
0;2147483647;10000000;588236;17;3650.717819;1;0.000000;0.000086;5.016628;o;0.002490;0.056607;0.917873;1.263281;2.181155;1.516210;1.260060;
0;2147483647;10000000;555556;18;3865.467472;1;0.000000;0.000128;4.981281;o;0.002614;0.055821;0.935266;1.247698;2.182965;1.492185;1.247549;
0;2147483647;10000000;526316;19;4080.217297;1;0.000000;0.000099;5.013344;o;0.002609;0.061267;0.905037;1.237208;2.142246;1.515192;1.291909;
0;2147483647;10000000;500000;20;4294.967294;1;0.000000;0.000218;5.837523;o;0.003459;0.062714;0.892138;1.324851;2.216990;2.184144;1.369979;
0;2147483647;10000000;476191;21;4509.710698;1;0.000000;0.000110;5.377343;o;0.002814;0.057808;0.885698;1.351664;2.237363;1.665578;1.413649;
0;2147483647;10000000;454546;22;4724.458354;1;0.000000;0.000077;5.569313;o;0.001760;0.057235;0.846921;1.423284;2.270206;1.791728;1.448290;
0;2147483647;10000000;434783;23;4939.207943;1;0.000000;0.000150;5.433755;o;0.002420;0.058810;0.951849;1.300740;2.252590;1.761256;1.358503;
0;2147483647;10000000;416667;24;5153.956630;1;0.000000;0.000152;5.598894;o;0.002159;0.059720;0.888548;1.333937;2.222486;2.022924;1.291414;
0;2147483647;10000000;400000;25;5368.709117;1;0.000000;0.000120;5.235750;o;0.001990;0.056769;0.836578;1.318184;2.154763;1.699062;1.323026;
0;2147483647;10000000;384616;26;5583.448549;1;0.000000;0.000106;5.157536;o;0.002127;0.057336;0.825405;1.317078;2.142484;1.640744;1.314718;
0;2147483647;10000000;370371;27;5798.195990;1;0.000000;0.000095;5.652234;o;0.001968;0.056699;0.768187;1.353953;2.122140;1.876028;1.595240;
0;2147483647;10000000;357143;28;6012.951806;1;0.000000;0.000189;5.048458;o;0.002931;0.059668;0.797668;1.283106;2.080776;1.638774;1.266093;
0;2147483647;10000000;344828;29;6227.695103;1;0.000000;0.000145;5.241518;o;0.002118;0.059928;0.752032;1.346630;2.098662;1.755752;1.324887;
0;2147483647;10000000;333334;30;6442.438056;1;0.000000;0.000159;5.393373;o;0.002081;0.058718;0.852628;1.328094;2.180723;1.829681;1.321993;
0;2147483647;10000000;322581;31;6657.191983;1;0.000000;0.000138;5.293981;o;0.001940;0.059144;0.758374;1.407581;2.165957;1.690094;1.376688;
0;2147483647;10000000;312500;32;6871.947670;1;0.000000;0.000150;4.976621;o;0.002007;0.059197;0.715264;1.282557;1.997821;1.619648;1.297779;
0;2147483647;10000000;303031;33;7086.679736;1;0.000000;0.000172;4.980986;o;0.001873;0.057234;0.714105;1.310248;2.024354;1.621874;1.275460;
