6000; 1801; 3.274299;
7000; 1801; 2.201981;
8000; 1801; 3.575233;
9000; 1801; 3.706137;
1000; 1901; 1.132220;
2000; 1901; 1.501536;
3000; 1901; 0.392132;
4000; 1901; 3.646556;
5000; 1901; 2.239343;
6000; 1901; 2.834765;
7000; 1901; 2.609810;
8000; 1901; 3.034442;
9000; 1901; 3.909299;
1000; 2001; 0.991793;
2000; 2001; 0.556206;
3000; 2001; 1.351933;
4000; 2001; 2.800917;
5000; 2001; 3.315205;
6000; 2001; 2.173059;
7000; 2001; 4.497219;
8000; 2001; 3.692234;
9000; 2001; 2.821140;
1000; 2101; 0.655769;
2000; 2101; 1.342860;
3000; 2101; 0.384225;
4000; 2101; 2.666477;
5000; 2101; 0.758555;
6000; 2101; 3.009563;
7000; 2101; 3.604397;
8000; 2101; 2.723955;
9000; 2101; 3.996603;
1000; 2201; 0.932829;
2000; 2201; 1.314423;
3000; 2201; 0.385311;
4000; 2201; 1.557459;
5000; 2201; 1.532962;
6000; 2201; 3.484159;
7000; 2201; 2.414934;
8000; 2201; 3.800261;
9000; 2201; 3.775176;
1000; 2301; 1.072247;
2000; 2301; 0.356759;
3000; 2301; 1.357327;
4000; 2301; 2.839608;
5000; 2301; 3.254844;
6000; 2301; 2.216134;
7000; 2301; 2.995928;
8000; 2301; 3.523815;
9000; 2301; 4.985086;
1000; 2401; 1.121217;
2000; 2401; 0.254001;
3000; 2401; 3.229098;
4000; 2401; 0.600398;
5000; 2401; 2.869807;
6000; 2401; 3.373989;
7000; 2401; 3.899325;
8000; 2401; 5.982314;
9000; 2401; 4.417296;
1000; 2501; 0.127134;
2000; 2501; 1.552965;
3000; 2501; 0.570447;
4000; 2501; 1.269868;
5000; 2501; 2.899329;
6000; 2501; 1.908134;
7000; 2501; 3.535065;
8000; 2501; 3.520227;
9000; 2501; 4.075399;
1000; 2601; 1.139806;
2000; 2601; 0.251848;
3000; 2601; 1.312278;
4000; 2601; 1.485536;
5000; 2601; 2.613014;
6000; 2601; 1.557623;
7000; 2601; 2.706937;
8000; 2601; 3.958076;
9000; 2601; 3.482700;
1000; 2701; 1.054072;
2000; 2701; 0.384689;
3000; 2701; 1.364681;
4000; 2701; 1.682474;
5000; 2701; 2.912295;
6000; 2701; 1.924268;
7000; 2701; 3.566899;
8000; 2701; 4.064305;
9000; 2701; 4.164790;
1000; 2801; 0.657587;
2000; 2801; 1.447775;
3000; 2801; 1.973363;
4000; 2801; 2.042693;
5000; 2801; 2.219067;
6000; 2801; 1.080369;
7000; 2801; 3.202444;
8000; 2801; 3.622685;
9000; 2801; 3.854359;
1000; 2901; 0.758657;
2000; 2901; 1.303006;
3000; 2901; 0.384663;
4000; 2901; 1.600932;
5000; 2901; 1.322340;
6000; 2901; 3.468996;
7000; 2901; 3.007652;
8000; 2901; 3.442099;
9000; 2901; 4.075874;
1000; 1; 0.075370;
2000; 1; 0.241804;
3000; 1; 0.695700;
4000; 1; 1.350745;
5000; 1; 1.534079;
6000; 1; 2.653446;
7000; 1; 2.000137;
8000; 1; 2.099440;
9000; 1; 3.436234;
1000; 101; 0.101554;
2000; 101; 0.546003;
3000; 101; 0.853040;
4000; 101; 0.298290;
5000; 101; 1.454779;
6000; 101; 1.454802;
7000; 101; 2.476347;
8000; 101; 2.090451;
9000; 101; 3.388085;
1000; 201; 0.105564;
2000; 201; 0.494055;
3000; 201; 0.934994;
4000; 201; 1.428336;
5000; 201; 1.016479;
6000; 201; 1.477681;
7000; 201; 3.114348;
8000; 201; 2.086556;
9000; 201; 2.159471;
1000; 301; 0.667066;
2000; 301; 0.138895;
3000; 301; 0.260457;
4000; 301; 1.038413;
5000; 301; 1.545064;
6000; 301; 1.582269;
7000; 301; 1.541184;
8000; 301; 3.105094;
9000; 301; 2.121163;
1000; 401; 0.106993;
2000; 401; 0.600000;
3000; 401; 1.338733;
4000; 401; 0.296103;
5000; 401; 1.255739;
6000; 401; 1.497800;
7000; 401; 2.965602;
8000; 401; 2.074610;
9000; 401; 2.151251;
1000; 501; 1.298274;
2000; 501; 0.139054;
3000; 501; 1.292713;
4000; 501; 0.316770;
5000; 501; 1.209752;
6000; 501; 1.121556;
7000; 501; 3.173375;
8000; 501; 1.672156;
9000; 501; 3.157319;
